INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Shooting
204434561,10/31/2019,19:03:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,010,674","239,150",40.82305581,-73.9045283,1
204434560,10/31/2019,14:17:00,BRONX,52,0,,FALSE,,,,<18,M,WHITE HISPANIC,"1,012,932","255,857",40.86890454,-73.89629842,1
204424712,10/30/2019,19:55:00,BRONX,52,0,,FALSE,,,,25-44,M,WHITE HISPANIC,"1,014,260","256,172",40.86976471,-73.89149548,1
204396946,10/29/2019,20:36:00,QUEENS,113,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK,"1,049,021","189,295",40.68601904,-73.7664566,1
204398628,10/29/2019,20:22:00,BROOKLYN,84,0,,FALSE,<18,M,BLACK,25-44,M,BLACK,"988,740","194,815",40.70140602,-73.98380813,1
204338715,10/28/2019,22:39:00,BROOKLYN,73,0,,FALSE,,,,45-64,M,BLACK,"1,006,602","185,144",40.67483426,-73.91942042,1
204338717,10/28/2019,15:53:00,QUEENS,103,0,,FALSE,<18,M,BLACK,<18,F,BLACK,"1,039,709","196,693",40.70638803,-73.79997184,1
204338716,10/28/2019,14:26:00,MANHATTAN,25,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,25-44,M,BLACK,"1,001,769","234,797",40.81113019,-73.93671451,1
204340073,10/28/2019,12:19:00,BRONX,44,0,,FALSE,25-44,M,UNKNOWN,18-24,M,BLACK,"1,008,787","243,961",40.83626606,-73.91132866,1
204294842,10/27/2019,18:14:00,BROOKLYN,79,0,,FALSE,18-24,M,BLACK,18-24,F,BLACK,"998,611","187,749",40.68200096,-73.94822315,1
204294846,10/27/2019,17:09:00,BRONX,44,0,,FALSE,,,,25-44,M,BLACK,"1,006,769","241,999",40.83088632,-73.91862797,1
204294844,10/27/2019,1:30:00,BROOKLYN,73,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,010,424","180,852",40.66304321,-73.90565843,1
204294843,10/26/2019,22:50:00,BROOKLYN,75,0,FAST FOOD,FALSE,,,,18-24,M,WHITE HISPANIC,"1,020,100","188,525",40.68406996,-73.87074095,1
204294840,10/26/2019,20:02:00,QUEENS,113,0,,TRUE,,,,<18,M,BLACK,"1,043,970","188,448",40.68372975,-73.78467642,1
204296334,10/26/2019,4:20:00,BROOKLYN,69,0,,FALSE,25-44,M,BLACK HISPANIC,25-44,M,BLACK,"1,010,971","174,787",40.64639448,-73.90371082,1
204294845,10/26/2019,4:00:00,BRONX,48,0,,FALSE,,,,25-44,M,BLACK,"1,013,751","247,662",40.84640904,-73.8933733,1
204294847,10/25/2019,21:04:00,BRONX,47,0,,FALSE,,,,18-24,M,BLACK,"1,024,379","266,718",40.89866994,-73.85484548,1
204294847,10/25/2019,21:04:00,BRONX,47,0,,FALSE,,,,25-44,M,BLACK,"1,024,379","266,718",40.89866994,-73.85484548,1
204294841,10/25/2019,19:43:00,BRONX,46,0,,FALSE,25-44,M,BLACK,25-44,F,BLACK,"1,012,248","251,807",40.85779072,-73.89878841,1
204294841,10/25/2019,19:43:00,BRONX,46,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,"1,012,248","251,807",40.85779072,-73.89878841,1
204294841,10/25/2019,19:43:00,BRONX,46,0,,FALSE,25-44,M,BLACK,18-24,M,WHITE HISPANIC,"1,012,248","251,807",40.85779072,-73.89878841,1
204294839,10/25/2019,12:54:00,QUEENS,100,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,"1,037,138","154,271",40.58996484,-73.80957751,1
204192601,10/24/2019,21:56:00,BRONX,46,0,,FALSE,,,,25-44,M,BLACK,"1,008,471","251,020",40.85564181,-73.91244514,1
204192603,10/24/2019,19:43:00,BROOKLYN,75,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,"1,022,078","183,185",40.66940465,-73.86363907,1
204192600,10/24/2019,0:52:00,STATEN ISLAND,121,0,PVT HOUSE,TRUE,25-44,M,BLACK,25-44,F,BLACK,"938,149","171,781",40.63806398,-74.1661083,1
204138620,10/23/2019,19:53:00,QUEENS,113,0,,TRUE,18-24,M,BLACK,18-24,M,BLACK,"1,045,280","185,698",40.67617271,-73.77997804,1
204154391,10/23/2019,15:16:00,MANHATTAN,10,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"982,756","210,140",40.74347046,-74.005393,1
204039257,10/22/2019,3:04:00,QUEENS,102,0,,FALSE,25-44,M,WHITE HISPANIC,18-24,M,BLACK,"1,022,254","188,529",40.68407195,-73.8629745,1
